n,kappa,law,gamma,strength,replication,method,estimate
1000,1,gaussian,1.5,2.1213203435596393,104,BGN11,2.0801381067731755
1000,1,gaussian,1.5,2.1213203435596393,105,Algorithm 1,2.110443352065345
1000,1,gaussian,1.5,2.1213203435596393,105,BGS25,2.1329930888700863
1000,1,gaussian,1.5,2.1213203435596393,105,BGN11,2.137069409306861
1000,1,gaussian,1.5,2.1213203435596393,106,Algorithm 1,2.2880445036256782
1000,1,gaussian,1.5,2.1213203435596393,106,BGS25,2.253632986866018
1000,1,gaussian,1.5,2.1213203435596393,106,BGN11,2.2591911574597368
1000,1,gaussian,1.5,2.1213203435596393,107,Algorithm 1,2.1808989837080377
1000,1,gaussian,1.5,2.1213203435596393,107,BGS25,2.1840155750428902
1000,1,gaussian,1.5,2.1213203435596393,107,BGN11,2.182334126410993
1000,1,gaussian,1.5,2.1213203435596393,108,Algorithm 1,2.103483313607985
1000,1,gaussian,1.5,2.1213203435596393,108,BGS25,2.0973255949125846
1000,1,gaussian,1.5,2.1213203435596393,108,BGN11,2.0946025119120546
1000,1,gaussian,1.5,2.1213203435596393,109,Algorithm 1,2.1546485387222134
1000,1,gaussian,1.5,2.1213203435596393,109,BGS25,2.1203553726207387
1000,1,gaussian,1.5,2.1213203435596393,109,BGN11,2.1188453599911576
1000,1,gaussian,1.5,2.1213203435596393,110,Algorithm 1,2.117767686621187
1000,1,gaussian,1.5,2.1213203435596393,110,BGS25,2.0956744230833513
1000,1,gaussian,1.5,2.1213203435596393,110,BGN11,2.0997920914807056
1000,1,gaussian,1.5,2.1213203435596393,111,Algorithm 1,2.016801704451632
1000,1,gaussian,1.5,2.1213203435596393,111,BGS25,2.0478432967020517
1000,1,gaussian,1.5,2.1213203435596393,111,BGN11,2.049896672656338
1000,1,gaussian,1.5,2.1213203435596393,112,Algorithm 1,2.1271546277220112
1000,1,gaussian,1.5,2.1213203435596393,112,BGS25,2.1252193416239056
1000,1,gaussian,1.5,2.1213203435596393,112,BGN11,2.1289382898416713
1000,1,gaussian,1.5,2.1213203435596393,113,Algorithm 1,2.1437635253428207
1000,1,gaussian,1.5,2.1213203435596393,113,BGS25,2.209025484277338
1000,1,gaussian,1.5,2.1213203435596393,113,BGN11,2.2111106152590607
1000,1,gaussian,1.5,2.1213203435596393,114,Algorithm 1,2.1486426797403664
1000,1,gaussian,1.5,2.1213203435596393,114,BGS25,2.1480166813156067
1000,1,gaussian,1.5,2.1213203435596393,114,BGN11,2.1476626622034027
1000,1,gaussian,1.5,2.1213203435596393,115,Algorithm 1,2.132121735102181
1000,1,gaussian,1.5,2.1213203435596393,115,BGS25,2.1289164305320054
1000,1,gaussian,1.5,2.1213203435596393,115,BGN11,2.1285332411576534
1000,1,gaussian,1.5,2.1213203435596393,116,Algorithm 1,2.1650641883560002
1000,1,gaussian,1.5,2.1213203435596393,116,BGS25,2.160624692040146
1000,1,gaussian,1.5,2.1213203435596393,116,BGN11,2.1623498746516563
1000,1,gaussian,1.5,2.1213203435596393,117,Algorithm 1,2.1096823800191364
