n,p,kappa,law,gamma,strength,replication,method,estimate
1000,600,1,gaussian,1.5,1.8669989318654328,99,SN13,1.9170984824530455
1000,600,1,gaussian,1.5,1.8669989318654328,99,OptShrink,1.920924442945661
1000,600,1,gaussian,1.5,1.8669989318654328,100,Algorithm 3,1.880907456174361
1000,600,1,gaussian,1.5,1.8669989318654328,100,SN13,1.8790195413665225
1000,600,1,gaussian,1.5,1.8669989318654328,100,OptShrink,1.8829068384025984
1000,600,1,gaussian,1.5,1.8669989318654328,101,Algorithm 3,1.8962465440293161
1000,600,1,gaussian,1.5,1.8669989318654328,101,SN13,1.8924620139878536
1000,600,1,gaussian,1.5,1.8669989318654328,101,OptShrink,1.8961049566169732
1000,600,1,gaussian,1.5,1.8669989318654328,102,Algorithm 3,1.7580452956906965
1000,600,1,gaussian,1.5,1.8669989318654328,102,SN13,1.7783118930258481
1000,600,1,gaussian,1.5,1.8669989318654328,102,OptShrink,1.7823279904843632
1000,600,1,gaussian,1.5,1.8669989318654328,103,Algorithm 3,1.8120019279965878
1000,600,1,gaussian,1.5,1.8669989318654328,103,SN13,1.8046998314671983
1000,600,1,gaussian,1.5,1.8669989318654328,103,OptShrink,1.8085888323208297
1000,600,1,gaussian,1.5,1.8669989318654328,104,Algorithm 3,1.8158478846735173
1000,600,1,gaussian,1.5,1.8669989318654328,104,SN13,1.8592815667788034
1000,600,1,gaussian,1.5,1.8669989318654328,104,OptShrink,1.8629270346181257
1000,600,1,gaussian,1.5,1.8669989318654328,105,Algorithm 3,1.8613745369202293
1000,600,1,gaussian,1.5,1.8669989318654328,105,SN13,1.8462885691397017
1000,600,1,gaussian,1.5,1.8669989318654328,105,OptShrink,1.8501918887219913
1000,600,1,gaussian,1.5,1.8669989318654328,106,Algorithm 3,1.8927067176228418
1000,600,1,gaussian,1.5,1.8669989318654328,106,SN13,1.8863635599970174
1000,600,1,gaussian,1.5,1.8669989318654328,106,OptShrink,1.8898892351831968
1000,600,1,gaussian,1.5,1.8669989318654328,107,Algorithm 3,1.9063906930763475
1000,600,1,gaussian,1.5,1.8669989318654328,107,SN13,1.8886961857904536
1000,600,1,gaussian,1.5,1.8669989318654328,107,OptShrink,1.8924140009165964
1000,600,1,gaussian,1.5,1.8669989318654328,108,Algorithm 3,1.850572677658566
1000,600,1,gaussian,1.5,1.8669989318654328,108,SN13,1.862303737722207
1000,600,1,gaussian,1.5,1.8669989318654328,108,OptShrink,1.8660986282618581
1000,600,1,gaussian,1.5,1.8669989318654328,109,Algorithm 3,1.8863107445928378
1000,600,1,gaussian,1.5,1.8669989318654328,109,SN13,1.8667733102439115
1000,600,1,gaussian,1.5,1.8669989318654328,109,OptShrink,1.870565426535531
1000,600,1,gaussian,1.5,1.8669989318654328,110,Algorithm 3,1.85265245597457
1000,600,1,gaussian,1.5,1.8669989318654328,110,SN13,1.8890660460227404
1000,600,1,gaussian,1.5,1.8669989318654328,110,OptShrink,1.892765928200866
