kappa_1,kappa_2,law,n,p,rho,rho_sig,mean_joint_orbit_error_valid,mean_signal_correlation_error_valid,valid_replications,nonreal_replications,total_mask_retries
1,1,gaussian,250,150,0.25,0.03674968618017828,0.1298539267298813,0.011348018995863319,500,0,0
1,1,gaussian,250,150,0.6,0.2116781923978269,0.15222329598353382,0.027922941178229042,500,0,1
1,1,gaussian,250,150,0.9,0.4762759328951106,0.1788225530120937,0.06112075580142913,500,0,1
1,1,gaussian,500,300,0.25,0.03674968618017829,0.0836228035448418,0.006789876787723226,500,0,0
1,1,gaussian,500,300,0.6,0.2116781923978269,0.0981975625818304,0.01657970093364795,500,0,0
1,1,gaussian,500,300,0.9,0.4762759328951106,0.1164631537088182,0.03276932349968145,500,0,0
1,1,gaussian,750,450,0.25,0.03674968618017828,0.0677299067806646,0.005295905793732817,500,0,0
1,1,gaussian,750,450,0.6,0.21167819239782693,0.07623765929887762,0.01370318986883483,500,0,0
1,1,gaussian,750,450,0.9,0.4762759328951106,0.09583965376452998,0.023923491503424713,500,0,0
1,1,gaussian,1000,600,0.25,0.03674968618017828,0.05364566395242525,0.004327260363396258,500,0,0
1,1,gaussian,1000,600,0.6,0.21167819239782687,0.06631527459244803,0.011807170206944018,500,0,0
1,1,gaussian,1000,600,0.9,0.47627593289511055,0.07860668552935672,0.018798365895449417,500,0,0
1,1,rademacher,250,150,0.25,0.03674968618017828,0.12651453946771746,0.010638789098841,500,0,2
1,1,rademacher,250,150,0.6,0.2116781923978269,0.14796837812263947,0.027179147298659268,500,0,0
1,1,rademacher,250,150,0.9,0.4762759328951106,0.18156636955998415,0.06039224177605961,500,0,0
1,1,rademacher,500,300,0.25,0.03674968618017829,0.08171564726339146,0.006442586977207359,500,0,0
1,1,rademacher,500,300,0.6,0.2116781923978269,0.09587959167322434,0.018363005228370973,500,0,0
1,1,rademacher,500,300,0.9,0.4762759328951106,0.11828179826878285,0.032495746802971785,500,0,0
1,1,rademacher,750,450,0.25,0.03674968618017828,0.06455176511501132,0.005111983868355791,500,0,0
1,1,rademacher,750,450,0.6,0.21167819239782693,0.08026916712253225,0.012935216638251994,500,0,0
1,1,rademacher,750,450,0.9,0.4762759328951106,0.0890920945158641,0.023602977420838635,500,0,0
1,1,rademacher,1000,600,0.25,0.03674968618017828,0.05621495658490963,0.004505523945524976,500,0,0
1,1,rademacher,1000,600,0.6,0.21167819239782687,0.06574657435303026,0.0111728587385756,500,0,0
1,1,rademacher,1000,600,0.9,0.47627593289511055,0.07813374406263145,0.018680416667454493,500,0,0
1,4,gaussian,250,150,0.25,0.036749686180178286,0.13857174435966924,0.011389805833268533,500,0,1
1,4,gaussian,250,150,0.6,0.21167819239782698,0.1689185978061299,0.03278847351465234,500,0,3
1,4,gaussian,250,150,0.9,0.4762759328951107,0.1960513225027624,0.0666682903132159,500,0,3
1,4,gaussian,500,300,0.25,0.03674968618017828,0.09293519050832455,0.007285487513345938,500,0,0
1,4,gaussian,500,300,0.6,0.21167819239782693,0.10859751345661878,0.018322418272670133,500,0,0
1,4,gaussian,500,300,0.9,0.4762759328951106,0.12925378356793302,0.03616268074269399,500,0,0
1,4,gaussian,750,450,0.25,0.036749686180178286,0.07346311760043892,0.005830703083772236,500,0,0
1,4,gaussian,750,450,0.6,0.2116781923978269,0.08484704657718013,0.0141862795855372,500,0,0
1,4,gaussian,750,450,0.9,0.4762759328951106,0.10413775118771348,0.0256095080653705,500,0,0
1,4,gaussian,1000,600,0.25,0.03674968618017828,0.06249877364887821,0.00515027068419249,500,0,0
1,4,gaussian,1000,600,0.6,0.21167819239782693,0.07287241480933829,0.013615639150511135,500,0,0
1,4,gaussian,1000,600,0.9,0.47627593289511067,0.08907393235357619,0.022534814709003644,500,0,0
1,4,rademacher,250,150,0.25,0.036749686180178286,0.13751322981865158,0.011185596199286787,500,0,1
1,4,rademacher,250,150,0.6,0.21167819239782698,0.16473660777152974,0.03014758480339047,500,0,3
1,4,rademacher,250,150,0.9,0.4762759328951107,0.19596919218626557,0.06451230321774296,500,0,2
1,4,rademacher,500,300,0.25,0.03674968618017828,0.09179367980314967,0.00727864829576259,500,0,0
1,4,rademacher,500,300,0.6,0.21167819239782693,0.10599218478776462,0.018405740551356225,500,0,0
1,4,rademacher,500,300,0.9,0.4762759328951106,0.12383556096944573,0.033712712538623,500,0,0
1,4,rademacher,750,450,0.25,0.036749686180178286,0.07367788040838426,0.005771235745472708,500,0,0
1,4,rademacher,750,450,0.6,0.2116781923978269,0.08618819828601479,0.014448965703297954,500,0,0
1,4,rademacher,750,450,0.9,0.4762759328951106,0.10160384669691112,0.02543241940284192,500,0,0
1,4,rademacher,1000,600,0.25,0.03674968618017828,0.060936912269574615,0.00477795713045685,500,0,0
1,4,rademacher,1000,600,0.6,0.21167819239782693,0.07269881879626351,0.012775072591499128,500,0,0
1,4,rademacher,1000,600,0.9,0.47627593289511067,0.08600236031208101,0.02096315308833842,500,0,0
4,4,gaussian,250,150,0.25,0.03674968618017828,0.15623118024677696,0.014873357884974027,500,0,4
4,4,gaussian,250,150,0.6,0.21167819239782687,0.19181589541167735,0.036891899700561046,500,0,8
4,4,gaussian,250,150,0.9,0.4762759328951106,0.22479874049989385,0.06978236414401329,500,0,6
4,4,gaussian,500,300,0.25,0.036749686180178286,0.10385307859727995,0.008604639373969056,500,0,0
4,4,gaussian,500,300,0.6,0.2116781923978269,0.1217643271238907,0.02203015211771608,500,0,0
4,4,gaussian,500,300,0.9,0.47627593289511067,0.14855392872258974,0.042343864082791526,500,0,0
4,4,gaussian,750,450,0.25,0.03674968618017828,0.08235061337584793,0.00653824227201865,500,0,0
4,4,gaussian,750,450,0.6,0.2116781923978269,0.09882423197578241,0.016604742949192595,500,0,0
4,4,gaussian,750,450,0.9,0.4762759328951106,0.11655632064867835,0.0298672214124676,500,0,0
4,4,gaussian,1000,600,0.25,0.03674968618017828,0.0719458704014753,0.005651786723997129,500,0,0
4,4,gaussian,1000,600,0.6,0.21167819239782687,0.0839768834157644,0.014852904917908543,500,0,0
4,4,gaussian,1000,600,0.9,0.4762759328951106,0.10257573033707623,0.024427037529436407,500,0,0
4,4,rademacher,250,150,0.25,0.03674968618017828,0.14659915271292975,0.013676706985158394,500,0,2
4,4,rademacher,250,150,0.6,0.21167819239782687,0.18736713808442418,0.03893491750143267,500,0,2
4,4,rademacher,250,150,0.9,0.4762759328951106,0.22066530464443884,0.07251889965661398,500,0,2
4,4,rademacher,500,300,0.25,0.036749686180178286,0.10267359152059545,0.008086219686296891,500,0,1
4,4,rademacher,500,300,0.6,0.2116781923978269,0.1204674431312984,0.02233941056178295,500,0,0
4,4,rademacher,500,300,0.9,0.47627593289511067,0.15063406391215028,0.04188652298191399,500,0,0
4,4,rademacher,750,450,0.25,0.03674968618017828,0.08361033237528324,0.006521754863790926,500,0,0
4,4,rademacher,750,450,0.6,0.2116781923978269,0.1009863551105567,0.01686368274311035,500,0,0
4,4,rademacher,750,450,0.9,0.4762759328951106,0.11769502433197435,0.0312804405398322,500,0,0
4,4,rademacher,1000,600,0.25,0.03674968618017828,0.07211295909156588,0.005887626929690089,500,0,0
